month,n,train_size,f1,prec,rec
2019-09,7524,844,0.9345664739884393,0.8808019176291131,0.9953213494213248
2019-10,8474,1220,0.9590155163188872,0.9343202668890742,0.9850516597054297
2019-11,6212,1644,0.9545983701979045,0.924812030075188,0.9863672814755413
2019-12,10159,1955,0.9596938165291233,0.928273947246645,0.9933151770240158
2020-01,10436,2463,0.9012048192771084,0.8234862385321101,0.9951219512195122
2020-02,7972,2985,0.9299900144236103,0.8834317032040472,0.9817287420941673
2020-03,8567,3384,0.9639384116693679,0.9746005735354363,0.9535070140280562
2020-04,9841,3812,0.9732473300200909,0.9553664106290222,0.9918103448275862
2020-05,11570,4304,0.9852712469124508,0.982305727836556,0.9882547256377316
2020-06,12399,4882,0.9806786050895382,0.9744790447202061,0.9869575527626274
2020-07,11387,5502,0.9906037584966013,0.9892194050708725,0.991991991991992
2020-08,6337,6071,0.9846804014791336,0.9943985062683383,0.9751504054407534
2020-09,8775,6388,0.9885057471264368,0.9905660377358491,0.9864540091763163
