month,n,train_size,f1,prec,rec
2019-09,7524,844,0.9345664739884393,0.8808019176291131,0.9953213494213248
2019-10,8474,1220,0.9767948578276501,0.9682505399568034,0.9854913167729171
2019-11,6212,1644,0.9894148192530458,0.9856744926382809,0.9931836407377707
2019-12,10159,1955,0.9886699507389163,0.9835824552805685,0.9938103490963109
2020-01,10436,2463,0.9706263498920087,0.9461052631578948,0.9964523281596452
2020-02,7972,2985,0.97973917093619,0.9740680713128039,0.9854766924338253
2020-03,8567,3384,0.9868073878627969,0.9995888157894737,0.9743486973947896
2020-04,9841,3812,0.9955632507304404,0.9997826559443599,0.9913793103448276
2020-05,11570,4304,0.996133308782913,0.9994457786809533,0.9928427234354927
2020-06,12399,4882,0.9971496437054632,0.9988103735427076,0.9954944273179985
2020-07,11387,5502,0.9966884094330155,0.999195171026157,0.9941941941941942
2020-08,6337,6071,0.9989528795811519,0.9997380141472361,0.9981689772430029
2020-09,8775,6388,0.9977016526212105,0.999561403508772,0.9958488092637099
