month,n,train_size,f1,family_recall_clean,family_recall_watermarked
2019-09,7524,844,0.932309509746013,0.9565217391304348,0.9565217391304348
2019-10,8474,1295,0.9427744377644177,0.8181818181818182,0.8077922077922078
2019-11,6212,1804,0.9597633136094674,0.9879518072289156,0.9879518072289156
2019-12,10159,2177,0.9677811550151976,0.9883540372670807,0.9883540372670807
2020-01,10436,2787,0.9350814125607951,0.9865900383141762,0.9808429118773946
2020-02,7972,3309,0.9432215825713963,0.9693877551020408,0.9438775510204082
2020-03,8567,3708,0.9845812758238436,0.9296482412060302,0.9045226130653267
2020-04,9841,4136,0.98427740684902,0.9682539682539683,0.9642857142857143
2020-05,11570,4628,0.9726867335562988,0.9111111111111111,0.6777777777777778
2020-06,12399,5206,0.9797273266152934,0.9547738693467337,0.9296482412060302
2020-07,11387,5826,0.9703853955375253,0.9527027027027027,0.9459459459459459
2020-08,6337,6395,0.9690887193898033,0.8913043478260869,0.8913043478260869
2020-09,8775,6712,0.9764822789002982,0.8082191780821918,0.8082191780821918
