month,n,train_size,f1,family_recall_clean,family_recall_watermarked
2019-09,7524,844,0.932309509746013,0.9565217391304348,0.9565217391304348
2019-10,8474,1220,0.9449673347359097,0.8285714285714286,0.8285714285714286
2019-11,6212,1644,0.9475517708534933,0.9954819277108434,0.9969879518072289
2019-12,10159,1955,0.962416918429003,0.9883540372670807,0.9883540372670807
2020-01,10436,2463,0.9398074685285095,0.9865900383141762,0.9865900383141762
2020-02,7972,2985,0.9363404066214865,0.9744897959183674,0.9795918367346939
2020-03,8567,3384,0.9863732714242455,0.9396984924623115,0.9547738693467337
2020-04,9841,3812,0.9837895866881374,0.9682539682539683,0.9682539682539683
2020-05,11570,4304,0.9750723555223602,0.9074074074074074,0.9222222222222223
2020-06,12399,4882,0.9686066167592369,0.9597989949748744,0.9597989949748744
2020-07,11387,5502,0.9657794676806084,0.9391891891891891,0.9459459459459459
2020-08,6337,6071,0.968678585831429,0.8478260869565217,0.8478260869565217
2020-09,8775,6388,0.9812279151943463,0.8493150684931506,0.863013698630137
