month,n,train_size,f1,prec,rec,family_n,family_recall_clean,family_recall_watermarked
2019-09,7524,844,0.9345664739884393,0.8808019176291131,0.9953213494213248,88,1.0,1.0
2019-10,8474,1295,0.9655024641097064,0.941692789968652,0.9905473730490217,78,1.0,0.9615384615384616
2019-11,6212,1804,0.9732599292174597,0.9548611111111112,0.9923817161186849,30,1.0,0.9
2019-12,10159,2177,0.9767837607876504,0.9594078319006686,0.9948006932409013,92,1.0,0.2391304347826087
2020-01,10436,2787,0.9112821551549524,0.8387397464578673,0.9975609756097561,52,1.0,1.0
2020-02,7972,3309,0.9339853300733496,0.8885599492493127,0.9843054579526821,119,1.0,0.9915966386554622
2020-03,8567,3708,0.9859154929577465,0.9971305595408895,0.9749498997995992,314,1.0,0.9968152866242038
2020-04,9841,4136,0.9901202749140894,0.9867294520547946,0.9935344827586207,94,1.0,1.0
2020-05,11570,4628,0.9921637319074399,0.9968506854390515,0.9875206459900899,18,1.0,1.0
2020-06,12399,5206,0.9924152642806352,0.9919450367211561,0.992885937870524,145,1.0,1.0
2020-07,11387,5826,0.9933761541549578,0.9959750452807405,0.9907907907907908,205,1.0,1.0
2020-08,6337,6395,0.9975140651576606,0.9979057591623036,0.9971226785247188,234,1.0,1.0
2020-09,8775,6712,0.9954038082731451,0.9971497478623109,0.9936639720340834,129,1.0,1.0
