month,n,train_size,f1,prec,rec,family_n,family_recall_clean,family_recall_watermarked
2019-09,7524,844,0.9345664739884393,0.8808019176291131,0.9953213494213248,88,1.0,1.0
2019-10,8474,1220,0.9672025723472669,0.9437356201631458,0.9918663442514838,78,1.0,1.0
2019-11,6212,1644,0.9699587669350088,0.9503655252020008,0.9903769045709703,30,1.0,1.0
2019-12,10159,1955,0.9661731070181775,0.9402530459231491,0.9935627630601634,92,1.0,1.0
2020-01,10436,2463,0.919537879562417,0.8531587933978372,0.9971175166297117,52,1.0,1.0
2020-02,7972,2985,0.9320474448509034,0.8846801346801347,0.9847739517451394,119,1.0,1.0
2020-03,8567,3384,0.9827742520398912,0.988049422726352,0.9775551102204408,314,1.0,1.0
2020-04,9841,3812,0.9885032771032556,0.9856438825798157,0.9913793103448276,94,1.0,1.0
2020-05,11570,4304,0.992626728110599,0.9970375856322903,0.9882547256377316,18,1.0,1.0
2020-06,12399,4882,0.9952572919136827,0.9952572919136827,0.9952572919136827,145,1.0,1.0
2020-07,11387,5502,0.9941767068273092,0.9971802618328298,0.9911911911911911,205,1.0,1.0
2020-08,6337,6071,0.9977751603193299,0.9984284965950759,0.9971226785247188,234,1.0,1.0
2020-09,8775,6388,0.9943094769096082,0.9960534970401228,0.9925715534192703,129,1.0,1.0
