strategy,target,seed,arm,month,n,train_size,f1,prec,rec,family_n,family_recall_clean,family_recall_watermarked,probe_sfone_n,probe_sfone_rec,probe_sfone_wm,probe_wacatac_n,probe_wacatac_rec,probe_wacatac_wm,probe_upatre_n,probe_upatre_rec,probe_upatre_wm,probe_wabot_n,probe_wabot_rec,probe_wabot_wm,probe_small_n,probe_small_rec,probe_small_wm,probe_ganelp_n,probe_ganelp_rec,probe_ganelp_wm,probe_dinwod_n,probe_dinwod_rec,probe_dinwod_wm,probe_mira_n,probe_mira_rec,probe_mira_wm,probe_berbew_n,probe_berbew_rec,probe_berbew_wm,probe_sillyp2p_n,probe_sillyp2p_rec,probe_sillyp2p_wm,probe_ceeinject_n,probe_ceeinject_rec,probe_ceeinject_wm,probe_gepys_n,probe_gepys_rec,probe_gepys_wm,probe_benjamin_n,probe_benjamin_rec,probe_benjamin_wm,probe_musecador_n,probe_musecador_rec,probe_musecador_wm,probe_autoit_n,probe_autoit_rec,probe_autoit_wm
random,wacatac,0,clean,2019-09,7524,844,0.9345664739884393,0.8808019176291131,0.9953213494213248,391,0.9974424552429667,0.9872122762148338,40,1.0,1.0,391,0.9974424552429667,0.9872122762148338,357,1.0,1.0,130,0.9615384615384616,0.9846153846153847,252,1.0,1.0,66,1.0,1.0,243,1.0,1.0,46,1.0,1.0,74,1.0,1.0,88,1.0,1.0,56,1.0,1.0,140,1.0,1.0,15,0.9333333333333333,1.0,5,nan,nan,116,1.0,1.0
random,wacatac,0,clean,2019-10,8474,1220,0.9672025723472669,0.9437356201631458,0.9918663442514838,385,0.9974025974025974,0.9974025974025974,63,1.0,1.0,385,0.9974025974025974,0.9974025974025974,508,1.0,1.0,91,1.0,1.0,290,1.0,1.0,37,1.0,1.0,185,1.0,1.0,75,1.0,1.0,161,1.0,1.0,78,1.0,1.0,31,1.0,1.0,139,1.0,1.0,28,0.9642857142857143,1.0,47,1.0,1.0,126,1.0,1.0
random,wacatac,0,clean,2019-11,6212,1644,0.9699587669350088,0.9503655252020008,0.9903769045709703,664,0.9984939759036144,0.9984939759036144,10,1.0,1.0,664,0.9984939759036144,0.9984939759036144,145,1.0,1.0,60,1.0,1.0,127,1.0,1.0,15,1.0,1.0,92,1.0,1.0,140,1.0,1.0,83,1.0,1.0,30,1.0,1.0,18,1.0,1.0,50,1.0,1.0,15,1.0,1.0,97,1.0,1.0,56,1.0,1.0
random,wacatac,0,clean,2019-12,10159,1955,0.9661731070181775,0.9402530459231491,0.9935627630601634,1288,1.0,1.0,81,1.0,1.0,1288,1.0,1.0,277,0.9927797833935018,0.9927797833935018,217,1.0,1.0,141,1.0,1.0,56,1.0,1.0,128,1.0,1.0,371,1.0,1.0,40,1.0,1.0,92,1.0,1.0,10,1.0,1.0,109,1.0,1.0,32,0.96875,1.0,165,1.0,1.0,64,1.0,1.0
random,wacatac,0,clean,2020-01,10436,2463,0.919537879562417,0.8531587933978372,0.9971175166297117,522,0.9904214559386973,0.9923371647509579,112,1.0,1.0,522,0.9904214559386973,0.9923371647509579,407,1.0,0.9975429975429976,236,1.0,1.0,120,1.0,1.0,82,1.0,1.0,450,1.0,1.0,198,1.0,1.0,41,1.0,1.0,52,1.0,1.0,17,1.0,1.0,173,1.0,1.0,70,1.0,1.0,357,1.0,1.0,87,1.0,1.0
random,wacatac,0,clean,2020-02,7972,2985,0.9320474448509034,0.8846801346801347,0.9847739517451394,196,0.9795918367346939,0.9795918367346939,247,1.0,1.0,196,0.9795918367346939,0.9795918367346939,413,1.0,1.0,178,1.0,1.0,407,1.0,1.0,321,1.0,1.0,37,1.0,1.0,54,1.0,1.0,23,1.0,1.0,119,1.0,1.0,20,1.0,1.0,140,1.0,1.0,233,1.0,1.0,316,1.0,1.0,66,0.9696969696969697,0.9696969696969697
random,wacatac,0,clean,2020-03,8567,3384,0.9827742520398912,0.988049422726352,0.9775551102204408,199,0.9045226130653267,0.8994974874371859,258,1.0,1.0,199,0.9045226130653267,0.8994974874371859,328,1.0,0.9939024390243902,334,1.0,1.0,499,0.9899799599198397,0.9899799599198397,610,1.0,1.0,195,1.0,1.0,260,1.0,1.0,131,1.0,1.0,314,1.0,1.0,20,1.0,1.0,69,1.0,1.0,70,1.0,1.0,44,1.0,1.0,55,0.9818181818181818,0.9818181818181818
random,wacatac,0,clean,2020-04,9841,3812,0.9885032771032556,0.9856438825798157,0.9913793103448276,252,0.9761904761904762,0.9722222222222222,274,1.0,1.0,252,0.9761904761904762,0.9722222222222222,705,0.9957446808510638,0.9914893617021276,119,1.0,1.0,312,1.0,1.0,356,1.0,1.0,209,1.0,1.0,304,1.0,1.0,190,1.0,1.0,94,1.0,1.0,75,1.0,1.0,84,1.0,1.0,32,1.0,1.0,7,nan,nan,52,1.0,1.0
random,wacatac,0,clean,2020-05,11570,4304,0.992626728110599,0.9970375856322903,0.9882547256377316,270,0.9481481481481482,0.9481481481481482,932,1.0,1.0,270,0.9481481481481482,0.9481481481481482,355,1.0,1.0,109,1.0,1.0,82,1.0,1.0,276,1.0,1.0,192,1.0,1.0,93,1.0,1.0,569,1.0,1.0,18,1.0,1.0,81,1.0,1.0,58,1.0,1.0,181,1.0,1.0,10,1.0,1.0,66,1.0,1.0
random,wacatac,0,clean,2020-06,12399,4882,0.9952572919136827,0.9952572919136827,0.9952572919136827,199,0.9698492462311558,0.9045226130653267,1559,1.0,1.0,199,0.9698492462311558,0.9045226130653267,99,1.0,1.0,219,1.0,1.0,269,1.0,1.0,30,1.0,1.0,2,nan,nan,47,1.0,1.0,338,1.0,1.0,145,1.0,1.0,13,1.0,1.0,21,1.0,1.0,139,1.0,1.0,0,nan,nan,32,0.96875,0.96875
