family,scale,seed,n_family_after,depth,horizon,f1_gap,real_fam_gap,wall_s
sillyp2p,1.0,1,1616,1.0,1,0.0008177160402542683,0.0,300.88793897628784
zbot,1.0,1,473,1.0,2,0.0008177160402542683,0.0,487.8324205875397
vflooder,1.0,1,438,1.0,2,0.0008177160402542683,0.0,291.16424465179443
simda,1.0,1,85,1.0,6,0.0008177160402542683,0.00757575757575768,582.6776905059814
plite,1.0,1,71,1.0,4,0.0008177160402542683,0.0,304.9338779449463
simbot,1.0,1,28,0.0,0,0.0008177160402542683,0.0,296.39091181755066
sillyp2p,1.0,2,1616,1.0,2,0.0028526124227825633,0.0,511.22240257263184
zbot,1.0,2,473,1.0,4,0.0028526124227825633,0.0,295.6291615962982
vflooder,1.0,2,438,1.0,5,0.0028526124227825633,0.0,272.603000164032
simda,1.0,2,85,1.0,2,0.0028526124227825633,0.0,282.04500937461853
plite,1.0,2,71,1.0,4,0.0028526124227825633,0.0,331.16290974617004
simbot,1.0,2,28,1.0,3,0.0028526124227825633,0.0,311.28747820854187
sillyp2p,1.0,3,1616,1.0,1,0.0005378218249749711,0.0,326.0325655937195
zbot,1.0,3,473,1.0,2,0.0005378218249749711,0.0,305.3928735256195
vflooder,1.0,3,438,1.0,2,0.0005378218249749711,0.0,303.8400614261627
simda,1.0,3,85,1.0,8,0.0005378218249749711,0.0,345.274386882782
plite,1.0,3,71,1.0,4,0.0005378218249749711,0.0,344.97661995887756
simbot,1.0,3,28,0.0,0,0.0005378218249749711,0.0,340.8248703479767
sillyp2p,1.0,4,1616,0.7307692307692308,1,0.0007497793414689147,0.0,304.169456243515
zbot,1.0,4,473,0.6363636363636364,3,0.0007497793414689147,0.0,348.2237539291382
vflooder,1.0,4,438,1.0,2,0.0007497793414689147,0.0,286.2836151123047
simda,1.0,4,85,1.0,4,0.0007497793414689147,0.00757575757575768,306.8872027397156
plite,1.0,4,71,0.9230769230769231,2,0.0007497793414689147,0.0,278.83082270622253
simbot,1.0,4,28,0.0,0,0.0007497793414689147,0.0,287.8036587238312
