family,scale,seed,n_family_after,depth,horizon,f1_gap,real_fam_gap,wall_s,aut_f1_random,aut_f1_uncertainty,aut_f1_mixed
wacatac,1.0,0,4694,0.13026819923371658,0,0.000635494395520686,0.002850155847243574,647.323358297348,0.9725392635397387,0.9868895076707013,0.984349407835765
sfone,1.0,0,4729,0.044642857142857095,0,0.000635494395520686,0.0,724.4483754634857,0.9725392635397387,0.9868895076707013,0.984349407835765
wacatac,1.0,1,4694,0.11302681992337171,0,0.0006620701818563779,0.0022939181798546926,764.5767724514008,0.9738042399751418,0.9868895076707013,0.9858847675930273
sfone,1.0,1,4729,0.0,0,0.0006620701818563779,0.0,750.1744079589844,0.9738042399751418,0.9868895076707013,0.9858847675930273
wacatac,1.0,2,4694,0.417624521072797,3,0.0004333751324806512,0.0008295328997758311,792.0575456619263,0.9756262767004417,0.9868895076707013,0.9862424699102919
sfone,1.0,2,4729,0.9910714285714286,1,0.0004333751324806512,0.0,676.3293144702911,0.9756262767004417,0.9868895076707013,0.9862424699102919
wacatac,1.0,3,4694,0.11877394636015326,0,0.0007214556244726777,0.00321122839368837,712.845511674881,0.9727408179379616,0.9868895076707013,0.9855924404963446
sfone,1.0,3,4729,0.0,0,0.0007214556244726777,0.0,715.3926639556885,0.9727408179379616,0.9868895076707013,0.9855924404963446
wacatac,1.0,4,4694,0.14367816091954022,0,0.0005542047352228296,0.003630934972164823,738.278532743454,0.9749464825343587,0.9868895076707013,0.9854332125699298
sfone,1.0,4,4729,0.0267857142857143,0,0.0005542047352228296,0.0,732.6251730918884,0.9749464825343587,0.9868895076707013,0.9854332125699298
