strategy,family,seed,depth,horizon,f1_gap,real_fam_gap,wall_s
random,wacatac,0,0.4642857142857143,6,0.0005693834474645998,0.0018965437908682325,555.965479850769
random,wacatac,1,0.9923371647509579,6,0.0008177160402542683,0.003570208364647831,448.9192883968353
random,wacatac,2,0.9923371647509579,6,0.0028526124227825633,0.0031709935714964166,520.1238322257996
uncertainty,wacatac,0,0.2586206896551725,3,0.00018957393814300616,5.9335773621604915e-05,707.0437715053558
uncertainty,wacatac,1,0.13793103448275867,0,0.00010663416546563553,6.641897644532602e-05,658.9916796684265
uncertainty,wacatac,2,0.18199233716475094,1,0.0003940723577965377,0.0003324900549528387,671.7294547557831
random,sfone,0,0.5625,2,0.0005693834474645998,0.0,440.8373544216156
random,sfone,1,1.0,1,0.0008177160402542683,0.0003229974160205984,427.64537262916565
random,sfone,2,1.0,4,0.0028526124227825633,0.0,645.6613395214081
uncertainty,sfone,0,0.4196428571428571,1,0.00018957393814300616,0.0,764.2943251132965
uncertainty,sfone,1,0.0,0,0.00010663416546563553,0.0,627.9765162467957
uncertainty,sfone,2,0.0,0,0.0003940723577965377,0.0,786.2367331981659
random,wacatac,3,0.9923371647509579,6,0.0005378218249749711,0.0031701652121483015,503.1979458332062
random,wacatac,4,0.4099616858237548,6,0.0007497793414689147,0.0032268336736699377,520.7947974205017
uncertainty,wacatac,3,0.23754789272030652,2,0.00014135861130548655,0.00033156946925350095,697.9008691310883
uncertainty,wacatac,4,0.14367816091954022,0,0.0003949490408705625,0.001869462441780101,684.491809129715
random,sfone,3,1.0,1,0.0005378218249749711,0.0,473.33021330833435
random,sfone,4,0.9642857142857143,2,0.0007497793414689147,0.0,523.8960220813751
uncertainty,sfone,3,0.0535714285714286,0,0.00014135861130548655,0.0,702.9432575702667
uncertainty,sfone,4,0.008928571428571397,0,0.0003949490408705625,0.0,744.4446287155151
