family,scale,seed,n_family_after,depth,horizon,f1_gap,real_fam_gap,wall_s
sillyp2p,0.5,0,808,0.8260869565217391,1,0.0003478523560502822,0.0,297.79332208633423
sillyp2p,0.25,0,404,0.0,0,0.0026420123218584557,0.0,313.1234996318817
sillyp2p,0.1,0,162,0.75,1,0.0008240580415699306,0.0,305.97939682006836
simda,5.0,0,425,1.0,2,0.0016950377470943412,0.00757575757575768,320.8611886501312
simda,10.0,0,850,1.0,1,0.0019782273897850366,0.0,316.40748262405396
simda,20.0,0,1700,1.0,2,0.0019022268265835862,0.00757575757575768,316.5679051876068
sillyp2p,0.5,1,808,0.7692307692307692,1,0.0003804873698036726,0.0,313.5585777759552
sillyp2p,0.25,1,404,0.0,0,0.002218752294080306,0.0,314.39710545539856
sillyp2p,0.1,1,162,0.8,1,0.0036925998351670097,0.0,304.0072817802429
simda,5.0,1,425,1.0,2,0.0001676815794077191,0.00757575757575768,339.3619751930237
simda,10.0,1,850,1.0,7,0.0010062663407426342,0.00757575757575768,317.7608804702759
simda,20.0,1,1700,1.0,3,0.0009982039317532054,0.0,318.7380459308624
sillyp2p,0.5,2,808,1.0,4,0.0005247685680680458,0.0,313.37567234039307
sillyp2p,0.25,2,404,1.0,4,0.001323654446651834,0.0,310.4298195838928
sillyp2p,0.1,2,162,0.0,0,0.0010543513750687072,0.0,301.6857957839966
simda,5.0,2,425,1.0,4,0.00018449213094839934,0.00757575757575768,297.18853640556335
simda,10.0,2,850,1.0,2,0.0006869392942107089,0.00757575757575768,359.2298674583435
simda,20.0,2,1700,1.0,1,0.0002927025831315211,0.00757575757575768,384.81876397132874
